CMDLINE /Users/benfourcin/miniconda3/envs/ben-wk/bin/python memory_profile.py
MEM 160.074219 1645013990.2170
MEM 160.078125 1645013990.3200
MEM 160.082031 1645013990.4217
MEM 160.082031 1645013990.5241
MEM 160.082031 1645013990.6270
MEM 160.082031 1645013990.7287
MEM 160.085938 1645013990.8290
MEM 160.085938 1645013990.9310
MEM 160.085938 1645013991.0350
MEM 160.085938 1645013991.1365
MEM 160.085938 1645013991.2383
MEM 160.085938 1645013991.3414
MEM 160.203125 1645013991.4443
MEM 160.203125 1645013991.5490
MEM 160.203125 1645013991.6532
MEM 160.203125 1645013991.7730
MEM 160.203125 1645013991.8746
MEM 160.195312 1645013991.9795
MEM 160.195312 1645013992.0817
MEM 160.191406 1645013992.1868
MEM 160.210938 1645013992.2901
MEM 160.210938 1645013992.3906
MEM 160.210938 1645013992.4979
MEM 160.210938 1645013992.6007
MEM 160.210938 1645013992.7038
MEM 160.210938 1645013992.8113
MEM 160.210938 1645013992.9147
MEM 160.210938 1645013993.0158
MEM 160.210938 1645013993.1201
MEM 160.210938 1645013993.2235
MEM 160.218750 1645013993.3246
MEM 160.234375 1645013993.4259
MEM 160.234375 1645013993.5279
MEM 160.234375 1645013993.6311
MEM 160.234375 1645013993.7374
MEM 160.234375 1645013993.8415
MEM 160.234375 1645013993.9450
MEM 160.234375 1645013994.0492
MEM 160.234375 1645013994.1509
MEM 160.234375 1645013994.2534
MEM 160.238281 1645013994.3579
MEM 160.238281 1645013994.4593
MEM 160.238281 1645013994.5637
MEM 160.238281 1645013994.6683
MEM 160.238281 1645013994.7720
MEM 160.238281 1645013994.8746
MEM 160.238281 1645013994.9784
MEM 160.238281 1645013995.0824
MEM 160.238281 1645013995.1875
MEM 160.257812 1645013995.2911
MEM 160.234375 1645013995.3957
MEM 160.226562 1645013995.4992
MEM 160.226562 1645013995.6026
MEM 160.226562 1645013995.7057
MEM 160.226562 1645013995.8079
MEM 160.234375 1645013995.9108
MEM 160.234375 1645013996.0129
MEM 160.234375 1645013996.1169
MEM 160.234375 1645013996.2211
MEM 160.238281 1645013996.3247
MEM 160.242188 1645013996.4259
MEM 160.242188 1645013996.5263
MEM 160.242188 1645013996.6267
MEM 160.242188 1645013996.7293
MEM 160.242188 1645013996.8329
MEM 160.242188 1645013996.9365
MEM 160.242188 1645013997.0414
MEM 160.242188 1645013997.1436
MEM 160.242188 1645013997.2461
MEM 160.246094 1645013997.3507
